iter	Logloss
0	0.6392546289
1	0.5923201948
2	0.5500748965
3	0.5221793973
4	0.4977579817
5	0.4741330839
6	0.4520923944
7	0.437534968
8	0.4245907174
9	0.4118001276
10	0.4024349958
11	0.3918354766
12	0.3819495119
13	0.375940422
14	0.3684754861
15	0.3635609498
16	0.357393234
17	0.351316558
18	0.3456714086
19	0.3415916318
20	0.3376992307
21	0.3340032141
22	0.3316929792
23	0.3285986703
24	0.3255153319
25	0.3234314435
26	0.3206741143
27	0.3187216506
28	0.3174620026
29	0.316081983
30	0.3149263646
31	0.3137753685
32	0.3127349829
33	0.3112287868
34	0.3103234573
35	0.3091778791
36	0.3080970577
37	0.3074001264
38	0.3066541807
39	0.3060084704
40	0.3050827006
41	0.3044735524
42	0.3033585833
43	0.302460517
44	0.3019359622
45	0.3014638001
46	0.3009355586
47	0.3003055284
48	0.299848569
49	0.2992481306
50	0.2985865652
51	0.298178613
52	0.297767151
53	0.2973757863
54	0.2969868138
55	0.2965874884
56	0.2962269741
57	0.2958304715
58	0.2954570036
59	0.2951299699
60	0.2948227684
61	0.2945215123
62	0.2941746041
63	0.2938825789
64	0.2935858487
65	0.2932103037
66	0.2930338738
67	0.2926726508
68	0.2923780969
69	0.2920691921
70	0.2918208119
71	0.291474041
72	0.2912339816
73	0.2910535708
74	0.2908481086
75	0.2906813512
76	0.290509266
77	0.2902372281
78	0.2900404514
79	0.2898721821
80	0.2895608444
81	0.2892378484
82	0.2890198195
83	0.2888587393
84	0.2885651764
85	0.2883776209
86	0.2882080666
87	0.2880944471
88	0.2878306611
89	0.2875944026
90	0.2873614805
91	0.2871842007
92	0.287017878
93	0.2867982852
94	0.2867326901
95	0.2865986144
96	0.2863923111
97	0.2861384383
98	0.2859416234
99	0.2858474623
100	0.2856571076
101	0.2854303313
102	0.2853019436
103	0.2850960979
104	0.2849678068
105	0.2848612281
