iter	Passed	Remaining
0	28	28360
1	44	22116
2	60	19976
3	76	19081
4	91	18192
5	105	17507
6	120	17107
7	132	16393
8	146	16089
9	160	15915
10	175	15745
11	188	15493
12	201	15301
13	215	15190
14	229	15047
15	243	14951
16	257	14862
17	273	14929
18	288	14918
19	305	14969
20	321	14997
21	336	14971
22	354	15040
23	371	15112
24	386	15073
25	402	15070
26	418	15099
27	433	15064
28	449	15040
29	464	15028
30	493	15426
31	509	15420
32	525	15411
33	542	15402
34	559	15412
35	574	15387
36	589	15339
37	609	15419
38	626	15440
39	644	15466
40	659	15421
41	674	15395
42	691	15379
43	708	15383
44	734	15578
45	750	15567
46	766	15543
47	783	15536
48	802	15567
49	817	15540
50	834	15525
51	851	15522
52	869	15533
53	884	15492
54	902	15507
55	934	15758
56	953	15767
57	976	15866
58	994	15865
59	1016	15923
60	1034	15919
61	1051	15910
62	1071	15938
63	1102	16123
64	1121	16131
65	1138	16116
66	1154	16077
67	1173	16078
68	1194	16112
69	1211	16096
70	1225	16034
71	1240	15986
72	1254	15926
73	1267	15865
74	1282	15812
75	1296	15759
76	1311	15719
77	1326	15681
78	1341	15641
79	1367	15730
80	1407	15968
81	1442	16143
82	1473	16281
83	1495	16311
84	1512	16283
85	1529	16251
86	1545	16219
87	1566	16236
88	1593	16312
89	1629	16476
90	1647	16459
91	1664	16429
92	1680	16390
93	1695	16339
94	1711	16305
95	1727	16271
96	1743	16235
97	1760	16205
98	1774	16149
99	1789	16102
100	1806	16083
101	1823	16053
102	1836	15992
103	1852	15963
104	1866	15907
105	1881	15870
106	1896	15827
107	1911	15785
108	1930	15777
109	1949	15772
110	1967	15757
111	1981	15713
112	1994	15659
113	2009	15618
114	2025	15587
115	2041	15556
116	2055	15512
117	2072	15489
118	2088	15465
119	2103	15425
120	2117	15379
121	2134	15361
122	2151	15339
123	2167	15313
124	2183	15287
125	2210	15334
126	2227	15312
127	2253	15351
128	2283	15419
129	2302	15408
130	2319	15384
131	2335	15356
132	2351	15331
133	2366	15296
134	2383	15272
135	2399	15243
136	2415	15215
137	2430	15181
138	2478	15354
139	2523	15501
140	2555	15570
141	2576	15564
142	2601	15590
143	2618	15568
144	2636	15545
145	2654	15525
146	2683	15568
147	2699	15540
148	2719	15533
149	2740	15530
150	2759	15512
151	2786	15546
152	2802	15516
153	2819	15491
154	2845	15512
155	2859	15469
156	2875	15442
157	2902	15466
158	2926	15479
159	2947	15473
160	2963	15445
161	2983	15430
162	2998	15399
163	3013	15360
164	3039	15383
165	3056	15358
166	3088	15404
167	3104	15373
168	3120	15342
169	3136	15315
170	3162	15332
171	3187	15344
172	3208	15337
173	3238	15371
174	3413	16092
175	3469	16243
176	3489	16223
177	3510	16210
178	3529	16190
179	3547	16161
180	3563	16122
181	3579	16089
182	3598	16063
183	3613	16026
184	3631	15996
185	3650	15974
186	3672	15968
187	3694	15956
188	3711	15925
189	3728	15895
190	3749	15882
191	3766	15851
192	3783	15821
193	3812	15839
194	3835	15832
195	3857	15822
196	3873	15788
197	3889	15752
198	3910	15739
199	3932	15730
200	3949	15699
201	3975	15704
202	3989	15664
203	4005	15630
204	4023	15603
205	4038	15567
206	4054	15531
207	4069	15494
208	4084	15456
209	4102	15432
210	4122	15415
211	4143	15400
212	4159	15370
213	4175	15336
214	4189	15297
215	4203	15256
216	4218	15220
217	4232	15182
218	4250	15157
219	4264	15118
220	4277	15079
221	4291	15040
222	4306	15005
223	4321	14970
224	4339	14947
225	4356	14918
226	4376	14902
227	4391	14870
228	4407	14838
229	4427	14821
230	4472	14890
231	4495	14880
232	4512	14855
233	4530	14831
234	4547	14803
235	4565	14781
236	4581	14748
237	4597	14719
238	4615	14696
239	4642	14702
240	4664	14690
241	4679	14658
242	4693	14622
243	4709	14591
244	4723	14555
245	4738	14522
246	4753	14490
247	4790	14527
248	4808	14502
249	4824	14472
250	4838	14437
251	4855	14413
252	4869	14378
253	4884	14346
254	4899	14312
255	4917	14290
256	4932	14261
257	4952	14244
258	4981	14251
259	5012	14267
260	5035	14256
261	5058	14249
262	5078	14230
263	5092	14198
264	5106	14164
265	5121	14132
266	5134	14094
267	5147	14060
268	5161	14026
269	5174	13991
270	5188	13957
271	5201	13921
272	5213	13883
273	5226	13848
274	5241	13819
275	5258	13794
276	5274	13765
277	5288	13735
278	5302	13701
279	5314	13666
280	5331	13642
281	5346	13612
282	5360	13582
283	5375	13551
284	5392	13529
285	5423	13540
286	5439	13514
287	5453	13483
288	5469	13455
289	5483	13426
290	5504	13411
291	5524	13396
292	5542	13373
293	5558	13348
294	5577	13329
295	5593	13303
296	5607	13272
297	5622	13245
298	5637	13215
299	5650	13183
300	5664	13153
301	5681	13131
302	5696	13103
303	5710	13073
304	5726	13049
305	5746	13033
306	5764	13011
307	5778	12982
308	5792	12952
309	5806	12923
310	5821	12897
311	5842	12883
312	5865	12874
313	5882	12852
314	5904	12839
315	5920	12816
316	5934	12786
317	5956	12773
318	5975	12755
319	5992	12734
320	6011	12715
321	6029	12695
322	6046	12673
323	6060	12645
324	6083	12634
325	6101	12615
326	6120	12595
327	6139	12579
328	6155	12554
329	6170	12528
330	6185	12500
331	6199	12473
332	6213	12445
333	6229	12422
334	6246	12400
335	6262	12375
336	6276	12348
337	6298	12335
338	6316	12316
339	6332	12293
340	6349	12271
341	6371	12259
342	6403	12265
343	6422	12247
344	6438	12223
345	6460	12210
346	6484	12202
347	6510	12198
348	6539	12198
349	6556	12176
350	6572	12152
351	6592	12136
352	6608	12112
353	6623	12086
354	6637	12060
355	6654	12037
356	6671	12016
357	6691	11999
358	6708	11978
359	6723	11953
360	6738	11928
361	6752	11899
362	6765	11871
363	6788	11861
364	6804	11837
365	6820	11814
366	6834	11788
367	6850	11764
368	6866	11741
369	6885	11723
370	6902	11703
371	6929	11697
372	6947	11678
373	6963	11656
374	6981	11636
375	7009	11633
376	7026	11611
377	7042	11588
378	7058	11565
379	7087	11563
380	7108	11548
381	7133	11540
382	7162	11539
383	7192	11537
384	7233	11554
385	7284	11586
386	7309	11578
387	7333	11566
388	7361	11562
389	7391	11561
390	7514	11703
391	7553	11716
392	7576	11702
393	7595	11682
394	7615	11664
395	7642	11656
396	7665	11642
397	7693	11636
398	7714	11619
399	7733	11600
400	7753	11581
401	7768	11555
402	7782	11529
403	7799	11506
404	7825	11497
405	7844	11476
406	7864	11458
407	7883	11438
408	7905	11423
409	7926	11405
410	7945	11386
411	7965	11367
412	7982	11346
413	8012	11341
414	8029	11318
415	8045	11294
416	8061	11269
417	8077	11246
418	8094	11224
419	8110	11200
420	8125	11175
421	8145	11156
422	8162	11133
423	8177	11108
424	8194	11086
425	8213	11066
426	8227	11041
427	8243	11016
428	8259	10992
429	8274	10968
430	8289	10943
431	8314	10931
432	8334	10913
433	8352	10892
434	8367	10868
435	8389	10851
436	8419	10847
437	8440	10829
438	8476	10831
439	8503	10822
440	8523	10803
441	8554	10799
442	8580	10788
443	8610	10782
444	8633	10767
445	8653	10749
446	8670	10727
447	8686	10702
448	8701	10678
449	8716	10654
450	8733	10631
451	8749	10608
452	8765	10583
453	8781	10561
454	8797	10537
455	8813	10513
456	8833	10495
457	8851	10475
458	8870	10455
459	8905	10453
460	8941	10454
461	8973	10449
462	8997	10435
463	9015	10413
464	9034	10394
465	9051	10372
466	9076	10359
467	9093	10337
468	9108	10313
469	9125	10291
470	9141	10267
471	9160	10247
472	9177	10224
473	9191	10199
474	9205	10174
475	9219	10149
476	9235	10125
477	9251	10102
478	9269	10082
479	9287	10061
480	9301	10036
481	9314	10010
482	9327	9984
483	9341	9958
484	9354	9933
485	9369	9909
486	9391	9893
487	9408	9871
488	9422	9846
489	9437	9822
490	9451	9797
491	9465	9773
492	9479	9749
493	9497	9728
494	9511	9704
495	9527	9681
496	9541	9656
497	9554	9630
498	9568	9607
499	9589	9589
500	9606	9568
501	9622	9545
502	9637	9523
503	9656	9502
504	9672	9481
505	9686	9456
506	9699	9431
507	9715	9409
508	9732	9388
509	9747	9365
510	9762	9342
511	9778	9320
512	9792	9296
513	9807	9273
514	9821	9249
515	9835	9225
516	9850	9202
517	9864	9179
518	9882	9158
519	9916	9153
520	9930	9130
521	9946	9108
522	9963	9087
523	9980	9065
524	9994	9042
525	10014	9024
526	10030	9002
527	10045	8979
528	10060	8957
529	10074	8933
530	10091	8912
531	10106	8891
532	10124	8871
533	10143	8851
